,age,breeds,description,media,name,pet_id,sex,size,status
0,Young,Labrador Retriever,"Sweetie came into a Texas shelter as a stray. A volunteer immediately fell in love with her and knew this girl is really special. This is what she has to say about Sweetie: âSweetie absolutely radiates love. I started going to visit the shelter dogs in April of this year. In 8 months of visiting dogs on the weekend, I have never met one who has such an immediate calming effect. It is hard to put into words, but she immediately made me feel an overwhelming sense of peace and love. I am very determined to save this girl and believe she has very important work to do in this world. We will all be better off for helping this girl get out of the shelter, trust me.â

There was no way we could let a dog like Sweetie die! Sweetie loves everyone she meets and wants to be touching her person at all times. She quickly became a foster favorite as well. She is super easy, and she's house trained and crate trained. She is great with kids and other dogs. She likes to play with her ball . She knows how to use the doggy door. She had rather be with her person or as close as she can get! To know Sweetie is to love her !

Apply to adopt SWEETIE DAVIS LONESTAR at www.EHRDOGS.org!","['http://photos.petfinder.com/photos/pets/43575795/1/?bust=1545181791', 'http://photos.petfinder.com/photos/pets/43575795/2/?bust=1545181808', 'http://photos.petfinder.com/photos/pets/43575795/3/?bust=1545181824']",Sweetie Davis Lonestar,43575795,F,M,A
1,Young,Pit Bull Terrier,"Meet Jimmy! He is a beautiful boy inside and out. This 3 year old bully mix is so fun and full of love! He is good dogs, cats, and kids! The only thing he lacks is basic obedience. He is a quick learner who loves to please his person. He is house broken and crate trained. Only chews on his bones  which he LOVES. If you would like to meet Jimmy, please fill out our online adoption application: 
https://docs.google.com/forms/d/e/1FAIpQLSftnYfej0sD5YBq6NfW_bV4VvpZh9StksaZPH4XkxxUTyySkg/viewform
RR231
#CALLMEBLEU","['http://photos.petfinder.com/photos/pets/43523568/1/?bust=1544642483', 'http://photos.petfinder.com/photos/pets/43523568/2/?bust=1544642485', 'http://photos.petfinder.com/photos/pets/43523568/3/?bust=1544642487', 'http://photos.petfinder.com/photos/pets/43523568/4/?bust=1544642488', 'http://photos.petfinder.com/photos/pets/43523568/5/?bust=1544642490']",JImmy,43523568,M,L,A
2,Adult,Mixed Breed,"Buddy is looking for a new best friend to explore life with! Buddy is stressed inside the kennel, but in his foster home was a very well behaved boy; to see him at his best, please spend some time with him in our outside play area. Buddy was housebroken and got along with all people, but would prefer to be the only pet in his forever home!

The best way to find your perfect match is to visit the shelter and meet the dog in person and speak with one of our adoption counselors. Adoption applications are only processed after you've met the dog. The shelter is open Wednesday thru Friday from 1 to 7pm and Saturday from noon to 5pm. Please visit

www.faithfulfriends.us/
adoption-process
for more information. Email adoptadog@faithfulfriends.

us with any questions.
",['http://photos.petfinder.com/photos/pets/41496253/1/?bust=1539714356'],Buddy,41496253,M,M,A
3,Baby,Labrador Retriever,"Friendly and a lot of puppy energy
We are still learning Maggie's behaviors, so we do not know if she is good with other dogs or cats.
She does appear to be good with children, but due to her high energy would not recommend for small children.","['http://photos.petfinder.com/photos/pets/43456328/1/?bust=1543966541', 'http://photos.petfinder.com/photos/pets/43456328/2/?bust=1543966546', 'http://photos.petfinder.com/photos/pets/43456328/3/?bust=1543966553', 'http://photos.petfinder.com/photos/pets/43456328/4/?bust=1543966560']",Maggie,43456328,F,M,A
4,Adult,Mixed Breed,"Rambo, always up for an adventure! This young handsome boy is high energy and packed full of action! The things he loves doing the most with his favorite people are running through the play yard and getting a little messy. He loves to play ball. He's the perfect fit for an active family with older children who can give him the play time and exercise he needs! Who knows will be more worn out, you or Rambo! Rambo is about two years old and came from the south. 

***To fill out an adoption application for this dog, please go to the following website: http://www.petsalive.com/adoptadog.html . We'll review your application and get back to you as soon as possible! ***


Please be patient with us as we take every application seriously and will review yours to make sure you are a good match with the dog you are choosing (although we usually will reply within 24-48 hours!) Please read our adoption page for more information in regards to this.

***If you have a YAHOO email address*** please check your spam folder if you have not received a response after a few days, as we usually respond to EVERY application within 24 hours and Yahoo sometimes blocks our responses!","['http://photos.petfinder.com/photos/pets/37836813/1/?bust=1501263761', 'http://photos.petfinder.com/photos/pets/37836813/2/?bust=1501263762', 'http://photos.petfinder.com/photos/pets/37836813/3/?bust=1501263762', 'http://photos.petfinder.com/photos/pets/37836813/4/?bust=1501263763', 'http://photos.petfinder.com/photos/pets/37836813/5/?bust=1507044512', 'http://photos.petfinder.com/photos/pets/37836813/6/?bust=1514225543']",Rambo,37836813,M,L,A
5,Senior,"Pit Bull Terrier, Mixed Breed","Why should you love Angus?  Let us count the ways!  Gus is a 7-8yrs young oddball who's always happy to be going wherever he's going - wherever that may be!  He looooves to meet people along the way when he's not busy pouncing on leaves as they blow across the sidewalk.  Despite being a rickety old man, he has a playful pep in his step that inspires all his fans to narrate his every move in a dopey voice to match his silly energy -- and on the flip side, he can be determinedly lazy for 15 hrs straight while he practices his most inventive napping positions!  In his past life, Gus lived harmoniously with another dog, a cat, and children, and he has met some new dog friends since.  And to top it all off, he has an endless repertoire of googly-eyed facial expressions and choral stylings that will keep you laughing!  

Angus is house-trained and well behaved when left alone in the house.  He is neutered, microchipped, vaccinated, and ready to find his special someone!  If you love to snuggle and have a sense of humor to match his, email adopt@rescuzillanyc.org and prepare for a warm welcome!

For more video of Gus in action, check out his Youtube channel:  https://www.youtube.com/watch?v=beS2-C2AQIs&list=PLvi_CzHeP7MYhXctrFcuLXEQnSVKtF9jq","['http://photos.petfinder.com/photos/pets/41451439/1/?bust=1524592123', 'http://photos.petfinder.com/photos/pets/41451439/2/?bust=1524260451', 'http://photos.petfinder.com/photos/pets/41451439/3/?bust=1524260458', 'http://photos.petfinder.com/photos/pets/41451439/4/?bust=1537142272', 'http://photos.petfinder.com/photos/pets/41451439/5/?bust=1537142273']",Angus (Gus the Greatest!),41451439,M,L,A
6,Adult,Terrier,"You can fill out an adoption application online on our official website.This handsome guy is Sandy. Sandy is a one year old mixed breed boy who comes into rescue from Texas. He has had a very rough start to life and when we got to him he was missing most of his hair, and was covered in dirt and ticks from being outside on his own trying to fend for himself for so long. Now he is safe and getting all the medical care he needs with our vet partner. Soon he will be ready to join a forever family that can show him what the good life is like! He is a shy and scared little boy right now but we are working on showing him that there is nothing to fear anymore and we know soon he will realize that he is safe and doesnât have to worry anymore. Could you be the one that can give sweet Sandy the life full of unconditional love and happiness that he deserves? He is good with people of all ages and other dogs and will be neutered and up to date on vaccines prior to placement in his forever home. If you would like to make Sandy the newest member of your family, please fill out an adoption application for him here: http://www.rescuedogsrocknyc.og","['http://photos.petfinder.com/photos/pets/43077260/1/?bust=1541128629', 'http://photos.petfinder.com/photos/pets/43077260/2/?bust=1541128633', 'http://photos.petfinder.com/photos/pets/43077260/3/?bust=1541128639']",Sandy,43077260,M,M,A
7,Baby,Boxer,"IT'S THE BOXCAR CHILDREN!! (Boxer children) 4 adorable boxer mix pups coming to NYC soon!!! Meet Henry, Jessy, Violet and Benny! These 4 siblings entertain themselves by playing hard all day and sleeping all night!!! Foster or adopt these awesome pups!!!","['http://photos.petfinder.com/photos/pets/43485507/1/?bust=1544224214', 'http://photos.petfinder.com/photos/pets/43485507/2/?bust=1544819236', 'http://photos.petfinder.com/photos/pets/43485507/3/?bust=1544819245']",Violet,43485507,F,M,A
8,Adult,Chihuahua,"Saving ONE animal won't change the world. But it will change the world for me. Ruff House Rescue ""Goes Big"" so more pets have a chance to go home. This means we are rescuing in areas that we can make the biggest lifesaving impact. While we continue to help our local dogs and families in NY wanting to surrender their pets we are compelled to help the animals most in need from the highest kill rate shelters in the country and the highest statistic for strays. Hundreds and thousands of highly adoptable puppies and dogs are killed daily. Therefore the majority of our pets come from these areas. This means the cost of rescue is higher due to the high costs of vetting, boarding, and transport. Please note our adoption fees vary and are the most reliable source of revenue enabling us to continue our rescue efforts. Your adoption fees directly contribute to the rescue of these animals. Please see our website for information and an application to adopt or foster or volunteer for RHR. Adoption fees vary from $250 to $500 which includes a pets spay/neuter - Micro-chipping - current vaccinations - heartworm testing. We ask that adopters submit applications in advance to help facilitate the adoption process. Please note while you may not be sure what pet you are interested in if any your application will help us find you the perfect match. Applications at Ruffhouserescue.org - *Please only submit an application if you are available immediately to adopt. Have a rental agreement to have a pet and all family members are ready to adopt. Thank you for thinking Adoption First!",['http://photos.petfinder.com/photos/pets/43519650/1/?bust=1544747986'],Pipsqueak,43519650,M,M,A
9,Adult,Alaskan Malamute,"Meet Velour. Rescued from a hoarding case along with her sisters, Satin and Silk, Velour is looking for her loving forever home. She is very still very scared and shy. She will need a very patient family who will help her come out of her shell, learn to walk on a leash, and be the best dog she can be. Velour will do best in a home with a secure, fenced in backyard where she can learn to run and play. Interested in adopting Velour? Please visit www.huskyhouse.org today to fill out an application.",['http://photos.petfinder.com/photos/pets/42118531/1/?bust=1531033575'],Velour,42118531,F,M,A
