,age,breeds,description,media,name,pet_id,sex,size,status
0,Baby,Shepherd,"These puppies were rescued all the way from the south and had a  rough start to life  But are heathy and happy now and looking for their best friend to spend their rest of their life with them come down to 2000 Spays and Neuters Animal Rescue ,Petco Animal Supplies, 2475 Broadway, New York, NY 10025, Sundays 1-4, Wednesday 3-6 and cheek them out you just might find your soul mate
",http://photos.petfinder.com/photos/pets/43666821/1/?bust=1546329523 http://photos.petfinder.com/photos/pets/43666821/2/?bust=1546329525 http://photos.petfinder.com/photos/pets/43666821/3/?bust=1546329527 http://photos.petfinder.com/photos/pets/43666821/4/?bust=1546329528 http://photos.petfinder.com/photos/pets/43666821/5/?bust=1546329533 http://photos.petfinder.com/photos/pets/43666821/6/?bust=1546329537,Puppies,43666821,M,S,A
1,Young,"American Staffordshire Terrier, Cattle Dog","HOW IS THIS FANTASTIC DOG GROWING UP HOMELESS? A true Southern Gentleman, CALVIN is living hi sbest life with an awesome foster famliy in Pottstwon, PA, which inlcudes four other dogs he loves!  CALVIN has responded beautifully to training, consistency and structure, returning the favor with obedience, loyalty and love! It's not fair for CALVIN to be bonding with a family that isnât actually his...

Before he made his way to Mr. Bones & Co.'s rescue program in December 2016, CALVIN had been abandoned on the outskirts of Houston, TX and was living in a junk yard. Now 3 years old and 45lbs. CALVIN is all sorts of sweet, goofy, wiggly affection. He does well meeting new people and dogs and is house and crate trained. CALVIN is being fostered near Reading, PA and is available for meet and greets.

The ideal home for CALVIN will have a fenced in yard so he can get his ya-yas out, have active people who enjoy hiking, walking and being outdoors and who understand dogs need structure and consistency. He looks for a confident person on the other end of the leash and wants to take cues from his people!

We will consider a home for him in PA, NY, MD, DC, VA, WV, NJ, OH, DE so please help us make his holiday dreams come true. Apply online via www.mrbonesandco.org/adopt 

Questions? Email elli@mrbonesandco.org

",http://photos.petfinder.com/photos/pets/43327308/1/?bust=1542569469 http://photos.petfinder.com/photos/pets/43327308/2/?bust=1542569469 http://photos.petfinder.com/photos/pets/43327308/3/?bust=1542569470 http://photos.petfinder.com/photos/pets/43327308/4/?bust=1542569470 http://photos.petfinder.com/photos/pets/43327308/5/?bust=1542569471 http://photos.petfinder.com/photos/pets/43327308/6/?bust=1542569471,Calvin,43327308,M,M,A
2,Adult,"Pit Bull Terrier, Mixed Breed","BELLA, 2 1/2, is a PitCake (pit bull Potcake) we rescued from the Bahamas. She was thrown from the trunk of a care emaciated and covered in mange and has made an incredible recovery. She has impeccable manners and would love a home outside of the hustle and bustle of the city - she loves lounging with her people and is very tolerant of puppies. Bella comes to work with her foster mom each day and is nonreactive to people and strangers. We cannot say enough wonderful things about this beauty! To adopt her, the first step is completing the adoption application at www.mrbonesandco.org/adopt  Thank you!",http://photos.petfinder.com/photos/pets/43179816/1/?bust=1542645851 http://photos.petfinder.com/photos/pets/43179816/2/?bust=1542645851 http://photos.petfinder.com/photos/pets/43179816/3/?bust=1542645852 http://photos.petfinder.com/photos/pets/43179816/4/?bust=1542645852,Bella,43179816,F,M,A
3,Young,Chihuahua,"Meet Tiffany, sheâs just arriving from Puerto Rico this week.  Tiffany is a sweet 2.5 year old Chihuahua Mix and weighs just 7 pounds.  Sheâs very friendly, well behaved and extremely sweet.  She was thrown over the fence by her âownerâ as they drove away.  She has been spayed and is up to date on her vaccinations.  Sheâs currently living in a Foster Home in NJ.

For more information about Tiffany, please fill out an application at www.ALRcares.com or email Julie@ALRcares.com.",http://photos.petfinder.com/photos/pets/43320894/1/?bust=1542492112 http://photos.petfinder.com/photos/pets/43320894/2/?bust=1542492118 http://photos.petfinder.com/photos/pets/43320894/3/?bust=1542575769,Tiffany,43320894,F,S,A
4,Young,"Labrador Retriever, Whippet","Marshall is a loyal, intelligent 2 and Â½ year old, 50 lb. Whippet / Lab mix.

And what a handsome young man! He is super soft, and has some seriously deep, thoughtful, brown eyes. As he bounces across the room to greet you, you will often see a smile on his face, too.  Talk about unconditional love!

Marshall is a rescue from Puerto Rico, and truly wants to find a forever home with people who understand him and have dog experience. A savvy dog owner is a must, as Marshall can outsmart just about anyone when he puts his mind to it!

He is healthy and active, and would shine in an athletic household. He could be your best running buddy! Boating, biking, hiking â you bring the gear and Marshall is ready to go!

If you live in the country and have a yard, you will genuinely enjoy having Marshall as your companion. He can entertain himself playing with leaves, or shadow you while you work outside, to keep you company (and offer gardening advice!) He just loves to be with his people. With some basic, consistent training he would also be totally amazing off-leash. He does come when called! With pleasure!

Marshall is house broken, crate trained and is gentle taking treats. He absolutely LOVES to snuggle, and would gladly nap on the couch with you for hours after a nice, long run on a Sunday afternoon. Belly rubs?? Yes, please!!

He has asked to be in a household with no children or cats. They make him anxious and he has made it clear that he doesnât want to be around them. Marshall wants to feel relaxed and confident, just like we all do, and he feeds off of his ownerâs feelings â so he needs his new family to be calm, confident and seasoned. He could do very well with another friendly well-mannered dog. The most important component in making this connection successful would be the initial greeting (which we have trainers to assist with, if needed).

Marshall pulls on the leash a bit, out of sheer exuberance to go on an adventure â but this can also easily be fixed with a special collar or more consistent training once he is in a home where he will be long-term. He is an excellent student and learns very quickly.

If you are looking for a super intelligent, loyal, gorgeous dog who loves to learn and to please â Marshall is your man! (Please do not apply if this is your first dog experience). 

For more information about sweet Marshall please fill out an application and email Julie@ALRcares.com and complete an application on our website www.ALRcares.com",http://photos.petfinder.com/photos/pets/40898867/1/?bust=1530127772 http://photos.petfinder.com/photos/pets/40898867/2/?bust=1518110798 http://photos.petfinder.com/photos/pets/40898867/3/?bust=1530127773 http://photos.petfinder.com/photos/pets/40898867/4/?bust=1530127774 http://photos.petfinder.com/photos/pets/40898867/5/?bust=1530127775,Marshall,40898867,M,L,A
5,Adult,Miniature Pinscher,"Oliver is an affectionate, loyal 2-year-old-male minpin-Chihuahua mix who likes to be the star attraction in your life. Although he may appear anxious and aloof at first impression, it's only a facade.  Once he feels secure, and a bond forms, his true beauty and personality stabs out like a beacon of light. He  loves to cuddle, loves to follow his human guardians around. And dotes on you with love and affection.  He is an Ideal dog for an experienced dog lovee,  single professional, or couple.  The remarkable thing is that he spent much of his first year of life tied to a fence in Puerto Rico.   He is currently being fostered in a house with cats and another dog .b He is a special dog ,and remarkably well-adjusted considering his prior situation. 

",http://photos.petfinder.com/photos/pets/43057666/1/?bust=1539941809 http://photos.petfinder.com/photos/pets/43057666/2/?bust=1539941842 http://photos.petfinder.com/photos/pets/43057666/3/?bust=1539941877 http://photos.petfinder.com/photos/pets/43057666/4/?bust=1539941919 http://photos.petfinder.com/photos/pets/43057666/5/?bust=1539941937 http://photos.petfinder.com/photos/pets/43057666/6/?bust=1539941988,Oliver,43057666,M,S,A
6,Adult,Labrador Retriever,"Meet Callie- the absolute sweetest girl around. 

Callie loves absolutely everyone, all people, other dogs, cats, and kids. She's just a pure lovebug.  Callie is on the calmer side, as her favorite thing to do is snuggle.  Sheâs gentle and oh-so-sweet. She also loves to go for walks and is up for any adventure you want to go on.  Sheâs such a loving and easy-going girl.  A true gem of a dog.  Callie is 2 years old, 39 pounds and would be a perfect dog for an NYC apartment or a home in the burbs. 

Callie was rescued on the beach in Puerto Rico.  When she saw us, she came up to us wagging her tail and giving us kisses.  As we tried to take her away from the beach, she wouldnât budge.  She guided us back to 4 little puppies she had hidden under a boat.  We brought all of them to safety.  While at our shelter, Callie was been an absolute favorite.  Sheâs just so, so, so sweet, words cannot describe what a good dog she is.  Now months later, Callie is in a foster home in NYC- waiting to meet her new family, who she can love forever. 

Callie is healthy, up to date on her shots and is waiting for her NYC vet appointment to be spayed.  To learn  more about this super sweet and loving girl, fill out an application on our website www.ALRcares.com and email Julie@ALRcares.com",http://photos.petfinder.com/photos/pets/43512890/1/?bust=1544565503 http://photos.petfinder.com/photos/pets/43512890/2/?bust=1544565517 http://photos.petfinder.com/photos/pets/43512890/3/?bust=1544565522 http://photos.petfinder.com/photos/pets/43512890/4/?bust=1544565528 http://photos.petfinder.com/photos/pets/43512890/6/?bust=1544565540,Callie,43512890,F,M,A
7,Baby,"Beagle, Labrador Retriever","Meet BB, heâs 12 weeks old and weighs just 14 pounds currently.  Heâs a Beagle and Lab Mix.  He is living in a Foster Home in NYC and is ready for adoption.

BB is super energetic and playful. Heâs very friendly and loves everyone.  Heâs great with other dogs and the cats he meets and just wants to play and cuddle.  Heâs up to date with all his vaccinations.

For more information about Pinto please email Eric@ALRcares.com and complete an application on our website www.ALRcares.com.",http://photos.petfinder.com/photos/pets/43472458/1/?bust=1544884698 http://photos.petfinder.com/photos/pets/43472458/2/?bust=1544128412 http://photos.petfinder.com/photos/pets/43472458/3/?bust=1544565028 http://photos.petfinder.com/photos/pets/43472458/4/?bust=1544565028 http://photos.petfinder.com/photos/pets/43472458/5/?bust=1544565029 http://photos.petfinder.com/photos/pets/43472458/6/?bust=1544884699,BB,43472458,M,M,A
8,Adult,"Labrador Retriever, Border Collie","Our magnificent Hero needs a hero of his own. This beautiful, robust boy is a victim of circumstances. His doting owner lost her home, and desperately tried to find housing to accommodate her beloved companion, whom she had raised from a pup. Hero's Mom took up temporary residence in a local motel, until she could get her bearings, but Hero was booted out by the motel manager. After a tearful goodbye, sad Hero was left in the care of a well-respected town shelter, who pled his case to us.

Hero appears to be a handsome mix of black Labrador Retriever and Border Collie. He has the physique and color of a black Lab, and the white tuxedo markings and black speckled white socks that suggest Border Collie. At 50 pounds, Hero has a solid, muscular build, and yet is easy to handle on lead. As a combination herder and retriever, Hero loves the outdoors, and has a hardwired work ethic that needs to be channeled through exercise and obedience work. 

Hero sometimes seems unsure of his place in the world, and needs to join a home with a strong pack leader, willing to provide the structure that he needs to to thrive. Hero gives the impression of caution at first, as he sizes up strangers, but warms quickly to a gentle touch. Adopters will need to be comfortable putting boundaries between Hero and strangers: he can become overzealous in guarding his person. He would be the ideal watchdog.

Hero seems subdued and intimidated at times, in the midst of our busy foster home, and we sense that a quiet, adult home would suit him best. He is not a big fan of change, and a steady, quiet routine will serve him beautifully.  Hero would be the ideal walking or running companion for an active single or couple. He loves the outdoors, can keep a brisk pace on a hike, and longs to make a one-to-one connection with a strong human personality. Hero could easily join a multi-dog home with another well-trained, calm dog, but cats are a definite no-go.

Hero has progressed nicely in his basic obedience training. The obedience work serves him as a job he can take pride in, and he performs the commands beautifully, either for praise or treats. Obedience training is key to providing the working breeds with the purpose and focus that they need to live happily in a domestic lifestyle.

Hero has good house manners and is house trained and crate trained. Adopters should have appropriate patience, and expect to troubleshoot the occasional accident that will inevitably occur during Hero's transition to a new home. He is in excellent health, and is at an ideal lean body weight. He has been neutered, and has been vaccinated for Rabies, DA2PP (distemper, adrenovirus, parvo and parainfluenza), and Canine Flu. He has been boostered as needed, and has had the 4dx test: negative for heartworm, lyme, earlichia and anaplasmosis. He has been dewormed, and microchipped. If you are interested in Hero, please write to Denise@eskiesonline.com or call Denise at 860-908-9738 for more info. 

Eskies Online is a 501(c)(3) Multibreed rescue group that serves unwanted American Eskimos and other dogs in need. Our group of volunteer foster homes spans the North East, and our adoption territory extends from Maine to eastern Pennsylvania, Delaware, and parts of northern Maryland. Once an adopter is approved, we arrange transportation. We do not adopt dogs beyond our territory. Please visit our website: www.eskiesonline.com for more information about our group and our adoption procedures.",http://photos.petfinder.com/photos/pets/37253070/1/?bust=1485176595 http://photos.petfinder.com/photos/pets/37253070/2/?bust=1485176595 http://photos.petfinder.com/photos/pets/37253070/3/?bust=1485176596,Hero,37253070,M,M,A
9,Young,"Labrador Retriever, Border Collie","Our stunning Wednesday enters the room like an arctic blast of cold on a hot summer night and grabs your attention! This magnificent one and a half year old, black Labrador Retriever mix came to us from a big city Animal Control facility, where she spent some time after a lackluster owners abandoned her. She was rail thin and gaunt when she entered the city shelter system, and took some time to adjust to her harsh surroundings. 

When Wednesday came to our Rescue, she was a wild child, a Black Beauty in need of some firm, loving leadership. It was painfully obvious that her owners had missed all of her social development cues, and woefully neglected her manners and leadership training. Wednesday was as precocious as her Addams Family namesake, and seemed to feel that her opinion was warranted on just about every subject.

In no time, Wednesday has developed into a canine thoroughbred, brimming with potential. An energy and personality match is key to Wednesday's happiness. She is a high energy, athletic dog who needs alot of outdoor exercise. She would gleefully keep rigorous pace with an avid runner, hiker or powerwalker, and seems to thrive in the brisk country air. No doubt about it, Wednesday needs an active adopter, but, also one who is extremely proficient in leadership and obedience training. She is not a dog for the casual or inexperienced adopter.

Wednesday largely appears to be Labrador Retriever, but we also suspect some Border Collie in her DNA. She is a lean, tall dog weighing 47 pounds, and is extremely graceful and athletic. She runs with great speed, and could be an agility champion. Wednesday has the energy and intelligence that we see in this high strung Herding breed, as well as the mischievious and impertinent tendency that sometimes occurs when Border Collies are under exercised and bored! 

As a double dose of working dog, Wednesday definitely needs a job, and she is a natural at obedience work. She knows all her basic commands, and has passed many of the Canine Good Citizenship tests. She handles beautifully on lead, and heels nicely. Wednesday still needs some polish on her stranger manners, since she may, on occasion, greet someone rudely, but motivated adopters should be able to work her through any issues by employing her well honed commands. In the right hands, Wednesday will become a fantastic, well behaved companion.

Wednesday would fare best in an adult home, with adopters experienced in handling large, active breeds. She would overwhelm toddlers and seniors. She could easily join a multi-dog home, with another active, well trained dog, but sometimes, unruly and ill mannered dogs press her buttons. We have not had her around cats, but she would most likely chase them beyond their tolerance level.

Wednesday has respectable house manners and is mostly housetrained. She will need some finetuning on her potty routine as she transitions to a new environment. Wednesday is in good health, and has been spayed. She has been vaccinated for rabies, bordatella, and DHLPPC (distemper, hepatitis, leptospirosis, parvo, parainfluenza and coronavirus). She has had the 4dx test, and is negative for heartworm, lyme, earlichia and anaplasmosis. She has been microchipped and dewormed, and is on monthly flea/tick and heartworm treatment.

If you are interested in Wednesday, please write to Denise@eskiesonline.com or call Denise at 860-908-9738.

Eskies Online is a 501(c)(3) Multibreed rescue group that serves unwanted American Eskimos and other dogs in need. Our group of volunteer foster homes spans the North East, and our adoption territory extends from Maine to eastern Pennsylvania, Delaware, and parts of northern Maryland. Once an adopter is approved, we arrange transportation. We do not adopt dogs beyond our territory. Please visit our website: www.eskiesonline.com for more information about our group and our adoption procedures.",http://photos.petfinder.com/photos/pets/37848260/1/?bust=1492174708 http://photos.petfinder.com/photos/pets/37848260/2/?bust=1492174708 http://photos.petfinder.com/photos/pets/37848260/3/?bust=1492174709,Wednesday,37848260,F,M,A
